japanese,english
能力,ability
意味,meaning
生活,life
フジテレビ,"Fuji Television Network, Inc"
または,or
主要,Major
専門,Professional
書,book
一方,on the other hand
編集,edit
最大,maximum
原作,original
名古屋,Nagoya
脚本,Script
率,rate
対応,Correspondence
院,Hospital
面積,area
運行,Operation
通常,generally
彼女,she
八,Eight
これら,these
種類,kinds
き,tree
対,versus
とも,friend
発行,Issue
続ける,continue
過去,past
身長,height
ま,Devil
ます,increase
出典,source
病院,hospital
生産,production
宇宙,universe
何,what
採用,Adoption
千,thousand
基本,Basics
生まれる,to be born
全て,all
風,Wind
ダム,dam
警察,police
さん,Mr. Miss
指揮,Command
六,Six
スポーツ,Sports
置く,Put
音,sound
編成,Organization
字,Character
朝,Morning
搭載,powered by
出す,put out
思う,think
海,Sea
百,hundred
運転,drive
周辺,neighborhood
調査,Research
みる,View
連続,continue
億,Billion
母,mother
特徴,feature
続く,Continue
少年,boy
独立,Independence
本社,main office
開業,Opening
行く,go
ものの,Thing
相手,partner
戦い,Fight
心,heart
始める,start
サービス,service
目的,Purpose
ロシア,Russia
実施,implementation
に対する,On
例,example
街,City
基礎,Basis
省,Province
藩,Clan
事務所,office
コード,code
部隊,Unit
設計,design
姿,Appearance
妻,wife
横浜,Yokohama
紹介,Introduction
ところ,In place
集,collection
高速,high speed
代目,generation
分類,Classification
森,Woods
得点,score
右,right
理由,reason
マン,man
帝国,Empire
不明,not clear
運動,motion
副,Secondary
勝利,victory
江戸,Edo
最も,most
年月日,date
章,chapter
建築,Architecture
じ,character
和書,Japanese code
経営,management
新潟,Niigata
没,Dash
長い,long
示す,show
俳優,actor
エンジン,engine
ニュース,news
発見,discover
データ,data
夏,summer
ホーム,home
群,group
無い,Not
以前,Before
備考,remarks
よ,world
正,Positive
契約,contract
本名,Real name
文字,letter
時点,Point
運営,operation
初めて,first time
イタリア,Italy
提供,Offer
大正,Taight
書く,to write
国内,Domestic
カード,card
士,Person
連合,Union
表,table
完成,Complete
師,Master
活躍,action
米,Rice
量,amount
スーパー,Supermarket
舞台,stage
予定,schedule
環境,environment
韓国,Korea
団体,Group
家族,family
七,Seven
のち,after
自治体,Municipality
祭,Festival
実際,actual
重,Heavy
社長,President
大きな,big
外,Outside
映像,picture
日本語,Japanese
学園,Academy
論,Theory
技,Skill
石,stone
時期,season
現代,present day
文,Sentence
族,Tribe
べし,Brief
協力,Cooperation
千葉,Chiba
解説,Commentary
船,ship
空港,airport
敵,enemy
共同,Joint
自由,freedom
女優,actress
ライブ,live
リリース,release
階,Floor
港,Harbor
研究所,Research institute
演出,Production
国家,State
方法,Method
学科,Department
出来る,Be able to
ちゃん,Chan
製,Manufacturing
屋,Shop
ほとんど,largely
通信,communication
普通,usually
コーナー,corner
主演,starring
加える,Add
といった,such as
完全,Perfect
初期,initial
少女,Girl
指導,Guidance
重要,important
仮,tentative
認める,Admit
子供,child
愛知,Aichi
工場,plant
結婚,marriage
しか,deer
区間,section
対象,subject
経歴,Career
支援,support
誕生,birth
評価,evaluation
訳,reason
公,public
新聞,newspaper
真,true
プロデューサー,producer
電気,Electricity
中継,relay
改称,Renaming
限定,exclusive
文学,literature
大戦,War
日本テレビ,Japanese television
テレビ朝日,TV Asahi
頭,Head
夜,Night
オリンピック,Olympic
方式,method
主人公,main character
血液,blood
圏,Zone
口,mouth
取る,take
ここ,here
夢,dream
誌,magazine
英,Inherited
性格,Character
形式,format
掲載,Published
行動,Behavior
表示,display
イベント,event
門,gate
公演,Performance
会議,meeting
先,Previous
果たす,Fulfill
春,spring
観光,sightseeing
学者,Scholar
装置,Device
初代,First
自ら,oneself
愛称,Nickname
陸軍,Army
言語,language
地球,Earth
作戦,Operation
成功,success
電車,train
移動,Movement
ご,Go game
系列,series
にかけて,In
バンド,band
為,For
すべて,all
スペシャル,Special
郎,Turtle
男子,Male
鈴木,Suzuki
経る,Pass
方面,Direction
国民,National
除く,except
り,the law of nature
品,Goods
向け,for
様々,various
由来,Origin
行,line
属,Genus
距離,distance
系統,system
基,Group
聖,Sacred
今,now
山口,Yamaguchi
同時に,at the same time
状況,Status
ヨーロッパ,Europe
多数,Many
界,World
結ぶ,tie
産業,industry
雑誌,magazine
装備,Equipment
オリジナル,original
作家,Writer
非常,Very
人気,popular
岡山,Okayama
会長,Chairman
未,Not
埼玉,Saitama
展開,Expansion
導入,introduction
統合,Integration
動物,animal
始まる,Be started
成立,Establishment
寺,temple
神戸,Kobe
国籍,Country of Citizenship
少ない,few
長野,Nagano
事項,Matter
スタッフ,staff
類,Kind
器,vessel
ガン,gun
教会,Church
競馬,Horse racing
大統領,President
工業,Industrial
かける,times
共和,Republic
来る,come
演奏,Playing
至る,Be
部門,Department
選ぶ,Choose
非,Non-
整備,Maintenance
男性,male
引退,Retirement
自然,Nature
党,party
再び,again
個人,Individual
に対し,For
終わる,End
田中,Tanaka
天,Heaven
堂,Padd
連邦,Federation
ビル,building
体重,body weight
新た,new
語る,talk
神奈川,Kanagawa
兵庫,Hyogo
木,wood
挙げる,Include
本部,Headquarters
専用,exclusive
運用,Operation
佐藤,Sato
結成,Formed
試験,test
組合,Union
福島,Fukushima
原,original
当,This
亜,sub
生徒,student
沿革,History
ネット,Net
求める,Ask
移籍,Transfer
ゲスト,The guests
連載,Serialization
資料,Document
事故,accident
正式,Formal
電話,phone
ノ,of
効果,effect
追加,addition
登録,register
わ,circle
業務,business
説,Theory
コース,course
労働,Labor
私,Me
医療,medical care
静岡,Shizuoka
制度,system
な,NS
ちる,Dash
学生,student
変化,change
良い,good
ベース,base
残る,Remain
アナウンサー,announcer
死去,Death
市場,market
ステージ,stage
弾,Bullet
残す,leave
決勝,final
盤,Board
博士,Doctor
まま,Remain
王国,Kingdom
向かう,Head
レース,race
大臣,Minister
生物,Organism
黒,black
兵,Soldier
とる,Take
中村,Nakamura
ほぼ,Almost
帯,band
楽曲,Music
よく,Often
詳細,detail
美術,art
歌手,singer
座,seat
規模,scale
です,is
声優,voice actor
仙台,Sendai
長崎,Nagasaki
全体,Overall
刑事,Detective
競走,race
クラス,class
砲,Gun
く,nine
沖縄,Okinawa
陸上,land
ジャンル,Genre
あるいは,or
アジア,Asia
葉,leaf
店舗,Store
市民,Citizen
社名,Company name
好き,like
九,Nine
複数,multiple
入り,enter
死,death
熊本,Kumamoto
戻る,return
つける,Put on
左,left
銀行,Bank
以来,Since
白,White
メイン,Main
もと,source
芸術,art
図,figure
伝説,Legend
つく,arrive
林,Forest
付,With
選出,Election
スペイン,Spain
新しい,new
区分,Classification
どう,copper
敗,Lose
地名,Place name
ニューヨーク,New York
経由,via
デジタル,Digital
温泉,hot spring
程度,degree
飛行,Flight
九州,Kyushu
製品,product
内閣,Cabinet
本人,Person
ファン,fan
あ,a
息子,son
高橋,Takahashi
恋,love
状,Shape
スタジオ,studio
入れる,put in
松本,Matsumoto
タイプ,type
落選,Defeat
施行,Enforcement
いずれ,Either
無,Nothing
発足,Launch
輸送,shipping
仕事,jobs
記,Record
王座,throne
特記,Special mention
ロック,rock
新設,Newly established
ベスト,Best
対戦,match
進む,move on
空,Sky
君,you
業,Business
岐阜,Gifu
接続,connection
通,Passing
工事,construction
丸,Circle
講談社,Kodansha
龍,Dragon
南部,Southern part
平,flat
移転,transfer
料理,cooking
秋田,Akita
保護,protection
鹿児島,Kagoshima
劇,Drama
末,End
経,Venue
学会,Society
走る,Run
支配,Rule
課,Section
石川,Ishikawa
回戦,War
表現,Expression
魔法,magic
札幌,Sapporo
名義,Name
ごと,Every
之,this
付近,near
ページ,page
そう,Yes
流,Flow
連盟,Federation
取締役,Director
商業,Commercial
個,Pieces
政策,policy
以後,Thereafter
失う,lose
民族,People
創立,Establishment
もつ,Mesh
回数,Number of times
らしい,Be
課程,Course
レコード,record
途中,in the middle
ローマ,Rome
姫,princess
開設,Opening
同じく,Same
周年,Anniversary
値,value
速度,speed
軌道,Orbit
統一,Uniform
明,Clear
変わる,change
唯一,Only
彼ら,they
経験,experience
商品,merchandise
ぶり,First
死亡,death
ジョン,John
略称,Abbreviation
吉田,Yoshida
大型,large
著,Written
破壊,destruction
魔,Magic
送る,send
赤,Red
精神,spirit
配信,delivery
路,Path
美,Beauty
台湾,Taiwan
元年,Former year
交差点,intersection
実,fruit
見せる,show
起点,Origin
旅,Journey
編入,Incorporation
足,legs
宗,Sect
よい,good
地理,Geography
発展,development
形成,Formation
市内,city
国鉄,National Railway
報告,report
植物,plant
山本,Yamamoto
電子,Electronic
コメント,comment
スター,Star
武,Military
述べる,Describe
通称,Known as
小林,Kobayashi
外国,Foreign countries
有名,well known
確認,Verification
障害,hindrance
基づく,Based
レギュラー,regular
翌,Next day
年生,Gross
安全,safety
法律,law
伝,Transmit
清,Queue
取得,Acquisition
特殊,Special
メーカー,Manufacturer
全日本,All Japan
山田,Yamada
当選,Winning
前後,Back and back
記事,article
緯度,latitude
太郎,Taro
来歴,history
司令,command
オープン,open
様,Mr
武器,weapon
領,Territory
広い,wide
そこ,There
人々,people
主張,Claim
近い,close
条件,conditions
ビデオ,video
命,life
兄弟,Brother
将軍,General
含める,include
弟,Younger brother
兄,Brother
やる,do
乗車,Ride
職業,Profession
ギター,guitar
絵,picture
経度,longitude
オリコン,Oricon
機構,mechanism
生まれ,birth
太,Thickness
関東,Kanto
戦う,fight
共演,Co-star
大学院,grad student
現れる,appear
顔,face
博物館,Museum
秋,autumn
平均,average
特定,identification
開く,open
発,Origin
ソフト,soft
アカデミー,Academy
え,Huh
後半,Latter half
方向,direction
住宅,House
深い,deep
号線,Route
準,Understanding
ストーリー,story
天皇,Emperor
学部,Undergraduate
合わせる,match
項,Paragraph
戦士,Warrior
機動,Motion
日本人,Japanese people
こう,shell
ソング,song
議会,Parliament
画,Picture
奈良,Nara
迎える,Welcome
仕様,specification
隣接,adjacent
夫,husband
形態,form
防衛,defense
逆,reverse
トップ,Top
富山,Toyama
支持,support
伊藤,Ito
復活,Resurrection
鳥,bird
犬,dog
近代,Modern
宮,Palace
茨城,Ibaraki
付ける,wear
図書館,library
渡辺,Watanabe
里,Village
書房,Bookstobing
主題歌,Theme song
伝える,inform
事実,fact
便,Service
父親,father
改造,Remodeling
改正,Revision
制御,control
農業,Agriculture
候補,candidate
起こす,Raise
機械,machine
子会社,subsidiary
カップ,cup
艦隊,fleet
青,Blue
支店,branch
近く,shortly
そのまま,As it is
朝鮮,Korea
徳島,Tokushima
拡大,expansion
流れる,Flow
源,source
署,Station
桜,Cherry blossoms
海外,overseas
批判,Criticism
所有,Own
東映,Toei
分野,Field
ツアー,Tours
似る,Resemble
学ぶ,learn
起こる,Occur
インド,India
やすい,Cheap
住む,live
加藤,Kato
反対,oppose
基地,base
投手,pitcher
著作,Writing
パリ,Paris
見える,appear
着,Arrival
設ける,prepare
諸,various
歌う,sing
メートル,Meter
ひとつ,one
人員,personnel
通過,Passage
職,Job
配置,Arrangement
復帰,return
理事,director
ホール,hole
保険,insurance
衆議院,House of Representatives
殺人,murder
決める,decide
園,Garden
発電,Power generation
ロンドン,London
入学,admission
はじめ,beginning
金融,Finance
立つ,stand
原因,Cause
宮城,Miyagi
創設,Creation
資本,capital
延長,Extension
戦後,Afterward
直接,Direct
ポイント,point
更新,update
低い,Low
なり,Becoming
革命,revolution
目指す,aim
土地,land
テレビ東京,Television Tokyo
いい,good
モード,mode
東日本,Eastern Japan
演,Act
扱う,deal
名誉,honor
共,Both
自動,Automatic
東北,Eastern
背番号,Speech
実験,experiment
イメージ,image
兼,and
敗れる,Lose
軍事,Military
フリー,free
アイドル,Idol
記述,Description
進出,Advance
にとって,for
差,difference
上記,the above
に関して,Regarding
古代,Ancient times
湖,lake
化学,Chemistry
行為,action
清水,Fresh water
エンディング,ending
段,Stage
アクセス,access
指す,Point
節,section
裏,back
捜査,investigation
予選,Qualifying
北部,Northern part
不,Disgusting
インターチェンジ,Interchange
前作,Previous work
スコア,Score
土曜,Saturday
頁,page
探偵,Detective
ポジション,position
県道,Prefectoral road
政権,administration
新宿,Shinjuku
大分,Oita
統計,statistics
被害,damage
年齢,age
プロジェクト,project
角,Horn
ワールド,world
画面,screen
かつ,And
身,Body
教,Teaching
表す,show
井上,Inoue
ピアノ,piano
コンピュータ,Computer
理論,theory
エリア,area
ミュージック,Music
貨物,cargo
条約,Treaty
令,Order
規定,Provision
ユニット,unit
住民,residents
地元,local
タイ,sea ​​bream
単位,unit
翌年,following year
文化財,Cultural property
宮崎,Miyazaki
機器,device
泉,Fountain
刊行,Publication
著名,Famous
竜,Dragon
部屋,room
選択,Choice
青森,Aomori
ヶ,Palace
独自,Unique
地震,earthquake
ドル,Dollar
関西,Kansai
仲間,Buddy
著書,book
カラー,Color
報道,Report
客,Customers
つつ,While
聞く,listen
親,parent
出力,output
投票,vote
杯,Cup
気,air
歴,History
マイル,Miles
くれる,Become
和,sum
家庭,home
従来,Conventional
メディア,media
宗教,religion
度度,Degree
出生,Birth
購入,purchase
紙,paper
成長,growth
ブログ,blog
エネルギー,energy
渡る,Acquire
集める,Collect
セット,set
綱,Rope
雪,snow
鉄,iron
近年,recent years
違う,different
事務,Office work
演じる,play
なす,Pulsate
町立,Town stand
離れる,Leave
率いる,Lose
大字,Letter
鬼,demon
妹,sister
谷,valley
歴代,Successive
標準,standard
ひる,Faint
ヒット,hit
シーン,scene
民,people
各地,Each
ナンバー,number
地下鉄,subway
巨大,Huge
御,All
区域,Area
火,fire
交流,Alternating current
かなり,rather
進める,Advance
守る,protect
東海,Tokai
物理,Physics
専攻,Major
殺す,kill
解散,dissolution
エピソード,episode
インターネット,the Internet
作成,create
新人,Newcomer
航空機,aircraft
郷,Town
半,half
帝,Emperor
費,Expense
スタイル,style
仁,Benevolence
例えば,for example
食べる,eat
ロゴ,logo
生涯,Lifetime
欧州,Europe
注,note
藤原,Fujiwara
増加,gain
認定,Certification
像,image
建物,building
派遣,Dispatch
太陽,Sun
李,Li
幅,width
山形,Mountain shape
通算,total
福井,Fukui
特急,Express
首相,Prime Minister
処理,process
比べる,compare
空間,space
集団,Group
席,seat
チャンネル,Channel
週間,week
記載,description
米国,USA
停止,Stop
史上,History
タレント,talent
首都,capital
閲覧,Browsing
幕府,Shogunate
直後,Immediately after
失敗,Failure
拠点,Hub
カナダ,Canada
ブランド,brand
こ,child
計,Total
先生,teacher
機体,Aircraft
ロボット,robot
主催,Sponsored
重量,weight
称す,Refer
順,order
篇,篇
河川,River
戦隊,Squadron
バージョン,version
翼,Wing
ね,Hey
み,fruit
上げる,increase
共通,common
銃,gun
作業,work
銀,Silver
細胞,cell
あまり,not much
管轄,jurisdiction
永,Permanency
波,wave
町村,Town village
基準,standard
カメラ,camera
定める,stipulate
交換,Exchange
守,Masturbation
強化,Enhancement
すぐ,soon
レベル,level
分離,Separation
ホテル,Hotel
未来,future
マーク,mark
週刊,Weekly
挑戦,challenge
皇帝,Emperor
開通,Opening
制限,limit
ライン,line
読む,read
対策,measures
責任,responsibility
超える,Be exceeded
プレイヤー,player
相当,Equivalent
感,Sense
小惑星,asteroid
徒歩,On foot
本来,Originally
生年,year of birth
ゆう,excellent
反応,reaction
下位,Lower rank
地下,underground
同社,Company
オーストラリア,Australia
いくつ,Several
関わる,Be involved
明らか,clear
変える,change
姉妹,Sister
安,Cheapness
坂,Slope
取引,transaction
最,Most
操作,operation
改革,reform
美術館,Art museum
行なう,Do
別名,alias
直,straight
スタート,start
倒す,knock down
純,Pure
訓練,Training
タイム,time
隻,Vessel
母親,mother
定義,Definition
同盟,alliance
死ぬ,die
記す,Write
生年月日,Birthday
連絡,contact
かかる,Take
実現,realization
域,Area
キャスト,cast
獣,beast
福祉,welfare
川崎,Kawasaki
オープニング,opening
京,Kyoto
戦車,tank
池田,Ikeda
ソ連,Soviet Union
幼稚園,kindergarten
推進,Promotion
マッチ,Match
達成,Achievement
岩手,Iwate
死没,Death
部長,Director
配偶,Birth
誰,Who
教師,teacher
介,Mediation
設備,Facility
自体,itself
若い,young
訪れる,visit
てる,Be
長官,Secretary
範囲,range
ボール,ball
金曜,Friday
伝統,tradition
利益,Profit
街道,highway
もう,already
ガス,gas
トン,Ton
終点,the last stop
冬,winter
栃木,Tochigi
大賞,Great prize
兵器,weapons
悪い,bad
跡,Mark
券,ticket
東京大学,University of Tokyo
オランダ,Netherlands
乗る,get on
層,layer
携帯,Mobile phone
毎年,Every year
勢力,power
児童,Child
玉,ball
司会,host
リスト,list
選,Selection
発言,comment
なか,inside
思想,Thought
東宝,Toho
平和,peace
西部,Western part
一時,Temporary
禁止,Ban
内部,internal
男女,Men and women
中学,Junior high school
お笑い,comedy
後期,Late
要素,element
隣,next
おく,back
参戦,Participation
財団,Foundation
術,Technique
初回,First time
ヶ月,months
展示,Exhibition
制定,Enactment
徳川,Tokugawa
トラック,truck
回転,rotate
単独,Single
働く,work
配給,distribution
生きる,live
電,Electricity
土,soil
三重,Triple
生じる,Occur
師団,Division
炎,flame
継承,Inheritance
保存,keep
命令,order
鳥取,Tottori
公立,public
信,Belief
資格,Qualification
周囲,Surroundings
ホームページ,home page
旅行,trip
都道府県,prefectures
義,Righteousness
輪,ring
役割,role
観測,observation
華,flower
暦,calendar
案内,guidance
哲学,philosophy
健康,health
グランプリ,Grand Prix
全員,All
青年,Young man
憲法,Constitution
全く,not at all
医学,Medicine
辞典,dictionary
ブルー,blue
古,Ancient
指摘,indicate
会員,Member
きっかけ,chance
得意,good at
陽,Yang
詩,Poem
秘密,secret
ふりがな,Furious
和歌山,Wakayama
分割,Split
隆,Rash
向上,Improvement
騎士,Knight
危険,dangerous
孫,Grandchild
宣言,declaration
発射,firing
比,ratio
周,Circumference
会場,venue
身体,body
備える,Be prepared
前身,Predecessor
性能,Performance
緑,green
ミサイル,missile
ドラフト,draft
向ける,Turn
カバー,cover
ネットワーク,network
地図,map
程,Degree
大陸,Continent
球団,Club
裁判所,court
扱い,Handling
略歴,Brief
それら,Their
書籍,Book
核,Nucleus
破る,Break
音声,audio
体制,System
プログラム,program
友人,friend
継続,continuation
録音,recording
階級,class
週,week
治療,Treatment
座標,Coordinate
市町村,Municipalities
建造,Construct
付き,With
鎌倉,Kamakura
ポーランド,Poland
急行,Express
謎,Mystery
執行,Execution
守備,Defense
成,Form
助,Aid
附属,Affiliated
昇格,Promotion
維持,Maintenance
車体,Car body
小型,Small size
阪神,Hanshin
モンスター,monster
もしくは,or
衛星,satellite
消滅,Annihilation
現役,Active duty
公共,public
ウェブサイト,website
ジャパン,Japan
自治,Self-government
英文,English
番目,Second
没年,Year of death
板,Board
志,Aspiration
西日本,West Japan
移行,Migration
日曜,Sunday
イン,in
多,Many
上映,Screening
冒険,adventure
リング,ring
々,Any way
角川,River
段階,step
誠,Sincerity
視聴,watch
旗,flag
小さな,small
背景,background
倍,Double
収入,income
加入,Join
自己,self
標高,elevation
図る,Become
後継,successor
姉,sister
猫,Cat
進行,Progress
原語,Original language
プロレス,wrestling
藩主,Lord
毎週,Every week
更に,Further
連隊,regiment
バレーボール,volleyball
犯罪,crime
東部,Eastern part
戦国,War
領域,region
限り,as long as
医師,Doctor
政,Government
インタビュー,interview
くん,Kun
信号,signal
塔,Tower
駅前,In front of the station
低,Low
付く,Be attached
記憶,Memory
代わり,Alternative
酸,acid
治,Cure
薬,medicine
小さい,small
組む,Be assembled
改良,Improvement
意識,Consciousness
校舎,School building
クイズ,quiz
市長,Mayor
月曜,Monday
免許,driver licence
コンビ,combination
症,Sympathy
要求,request
武装,Armed
まだ,yet
月刊,Monthly publication
貢献,contribution
忠,Lid
むら,Mura
本線,Main line
判断,Judgment
ライト,Light
しばしば,often
反,Antagonism
各国,Each country
樹,Tree
バック,back
翻訳,translation
関,Association
自転車,bicycle
売上,Earnings
駆逐,Destruction
いわゆる,So-called
ルート,root
生命,life
審査,examination
逮捕,Arrest
戦艦,Battleship
今日,today
在籍,Enrollment
ワールドカップ,World Cup
建,Built
紀元前,B.C.
保,Preservation
天使,angel
全長,full length
比較,Comparison
体育,physical education
貴族,Noble
宝,Treasure
殺害,Killing
カリフォルニア,California
キャラ,Character
工学,engineering
共学,Co-learn
奪う,Rob
境界,boundary
従業,Employment
連結,Linking
ボーカル,vocal
芸能,Entertainment
番地,address
ドラゴン,Dragon
首,neck
分布,distribution
軸,shaft
弘,Hiro
共著,Co-author
アフリカ,Africa
任務,mission
英国,UK
あたる,Be
産,Birth
違い,difference
対抗,Antagonism
消費,consumption
有,Presence
資産,assets
常に,always
ゴールデン,Golden
魚,fish
ジョージ,George
豊,Richness
計算,Calculation
木村,Kimura
減少,Decrease
血,blood
一定,Constant
わかる,Recognize
コーチ,coach
魂,soul
学院,Academy
観客,audience
羽,wing
香川,Kagawa
アニメーション,animation
オブ,of
空軍,Air Force
作画,Drawing
イオン,ion
大和,Oysters
シティ,City
株式,stock
起きる,Get up
会館,Hall
トンネル,tunnel
王子,prince
実行,execution
趣味,hobby
既に,already
レッド,Red
ずつ,By
プロフィール,profile
出会う,meet
ブロック,block
全米,All US
指名,name
通る,Pass through
食品,Food
香港,Hong Kong
定期,Regular
病,disease
雲,cloud
記者,Reporter
価格,price
勤務,Work
バトル,battle
燃料,fuel
ショー,show
進学,Advancing
キロ,Kilometer
形状,shape
練習,training
田,Field
早い,quick
分ける,Divide
長男,Eldest son
安定,Stability
ルール,rule
披露,Exhibition
メジャー,major
単,single
対立,Confrontation
深夜,Midnight
後述,Later
傾向,tendency
民主党,Democratic Party
グリーン,green
野,field
順位,Ranking
惑星,planet
康,Secret
潜水,diving
加盟,Joining
コミック,Comic
政党,Political party
件,subject
感じる,feel
興行,Entertainment
